"gender","age","hourpay"
0,56,932.5
0,51,320.51
0,39,265.4
0,46,259.28
0,47,201.93
0,60,144.25
0,38,120.2
1,55,105.8
0,65,100
0,32,96.15
0,43,94.77
1,54,92.3
1,56,90.8
0,43,81.97
0,60,80.13
1,40,80.13
0,40,76.92
1,40,75.92
0,48,72.7
0,40,72.51
0,61,72.13
0,64,72.1
1,52,72.08
0,39,69.24
1,45,69.2
0,56,68.75
0,42,66.79
0,55,65
1,48,64.11
0,56,64.1
0,47,61.54
1,43,61.53
1,35,58.88
0,42,58
0,49,57.7
0,41,57.68
1,56,57.67
1,38,56.25
0,35,56.06
0,43,54.94
1,46,54.94
0,56,54.94
0,44,54.94
0,45,54.94
0,42,54.94
0,45,54.94
0,37,54.94
0,36,54.94
0,51,54.94
0,30,54.94
0,39,54.66
1,42,54.5
0,43,52.45
0,46,51.97
1,56,51.97
0,31,51.97
1,42,51.97
0,43,51.93
0,32,51.93
0,64,51.9
0,57,51.63
0,47,51.55
0,65,51.09
1,53,50.61
0,50,50.61
0,44,50.61
0,59,50.61
0,52,50.61
0,37,50.61
0,53,50.61
0,46,50.31
0,56,50.17
0,37,50
1,59,50
0,54,49.89
0,41,49.89
0,53,49.89
0,29,49.71
0,41,49.55
1,37,49.46
0,52,49.44
0,56,49.31
1,58,49.22
0,36,49.08
0,52,49.05
1,38,49.05
0,63,49.05
0,49,48.91
1,44,48.28
0,46,48.08
0,43,48.08
0,45,48.08
0,54,48.08
0,43,48.08
0,31,48.08
0,34,48.08
0,42,48.08
0,37,48.08
0,58,48.08
0,50,48.08
0,40,48.08
0,54,48.08
0,46,48.08
0,35,48.08
0,31,48.08
1,31,48.08
0,35,48.08
0,58,48.07
0,63,48
0,52,47.81
1,51,47.63
0,38,47.6
1,47,47.47
0,46,47.4
0,50,47.2
1,35,47.18
0,37,46.71
1,59,46.2
1,46,46.16
0,44,46.15
0,61,46.15
0,49,46.14
0,41,45.94
1,36,45.74
0,42,45.55
0,24,45.55
0,44,45.36
1,47,45.06
0,44,45.06
0,60,44.7
0,52,44.53
1,46,44.51
0,44,44.38
0,54,44.19
0,42,44.19
0,49,44.19
0,53,44.19
1,55,44.08
0,52,43.94
0,48,43.65
1,41,43.65
1,45,43.51
0,46,43.28
0,43,43.28
1,48,43.28
0,42,43.28
0,53,43.03
0,55,42.73
0,50,42.73
0,53,42.73
0,61,42.73
1,48,42.73
0,52,42.73
0,34,42.73
0,56,42.73
1,53,42.72
0,34,42.62
1,53,42.5
0,33,42.5
0,38,42.5
0,34,42.31
1,53,42.3
1,30,42.3
1,33,42.13
0,55,42.09
1,38,42.06
0,38,42
1,36,41.95
0,62,41.95
0,55,41.83
0,55,41.83
1,33,41.57
0,63,41.57
0,56,41.57
1,41,41.5
1,48,41.5
1,43,41.2
1,39,41.2
0,62,41.2
0,62,41.02
0,43,41
0,51,41
0,54,41
0,38,40.88
0,33,40.88
0,54,40.88
1,36,40.88
0,35,40.88
0,45,40.88
0,38,40.88
0,40,40.88
0,63,40.88
1,65,40.88
